rank,track_id,name,artists,album,tier,mood,energy,dance,valence,bpm,camelot,listen_count,days_since_latest_listen,tier_weight,recency_boost,listen_count_boost,jitter,sort_score,spotify_url
69,4w6K8eMuWck8OSJ1fdvU9e,Lonely,Palaye Royale,Lonely,maybe,172.00,62.00,62.00,48.00,148.00,7A,1,0.08,0.600,0.9974,0.1386,1.0195,1.0016,https://open.spotify.com/track/4w6K8eMuWck8OSJ1fdvU9e
70,2MO6XvzlEBKA0PoRqAt9J9,American Blood,Dead Poet Society,American Blood,maybe,167.00,73.00,55.00,39.00,118.00,6B,1,0.18,0.600,0.9941,0.1386,1.0185,0.9996,https://open.spotify.com/track/2MO6XvzlEBKA0PoRqAt9J9
71,2YYjiwYdhHGVoTy12yjuwh,Heavy Rotation,Ciara,Basic Instinct,maybe,183.00,76.00,75.00,32.00,132.00,11B,1,1.29,0.600,0.9588,0.1386,1.0285,0.9985,https://open.spotify.com/track/2YYjiwYdhHGVoTy12yjuwh
72,6xpDh0dXrkVp0Po1qrHUd8,Adam's Song,blink-182,Enema Of The State,maybe,168.00,78.00,52.00,38.00,136.00,8B,1,0.18,0.600,0.9942,0.1386,1.0170,0.9981,https://open.spotify.com/track/6xpDh0dXrkVp0Po1qrHUd8
73,7sVbKoBdhXtYCEOO6qC1SN,We Still Don't Trust You,"Future,Metro Boomin,The Weeknd",WE STILL DON'T TRUST YOU,maybe,174.00,59.00,72.00,43.00,110.00,5A,1,1.27,0.600,0.9594,0.1386,1.0271,0.9973,https://open.spotify.com/track/7sVbKoBdhXtYCEOO6qC1SN
74,1Au3FoCGdYXtecmFc5s2l1,Coincide,Catfish and the Bottlemen,The Balance,maybe,180.00,86.00,50.00,44.00,140.00,11A,1,0.06,0.600,0.9979,0.1386,1.0145,0.9968,https://open.spotify.com/track/1Au3FoCGdYXtecmFc5s2l1
75,3riRdhyMDfEQz5nKrxfbwv,MUTT [CB REMIX],"Leon Thomas,Chris Brown",MUTT (CB REMIX),maybe,172.00,52.00,53.00,67.00,180.00,3B,1,1.27,0.600,0.9594,0.1386,1.0264,0.9967,https://open.spotify.com/track/3riRdhyMDfEQz5nKrxfbwv
76,5H7Z2DdWYT9ctLSuKzqkSb,Golden Dandelions - Acoustic,Barns Courtney,Golden Dandelions (Acoustic),maybe,171.00,58.00,57.00,56.00,140.00,6A,1,0.21,0.600,0.9931,0.1386,1.0136,0.9944,https://open.spotify.com/track/5H7Z2DdWYT9ctLSuKzqkSb
77,23IJ5wLRhEZ9DOuia5mPiZ,Who Are You,The Who,Who Are You,maybe,179.00,65.00,65.00,49.00,156.00,11B,1,1.25,0.600,0.9600,0.1386,1.0232,0.9937,https://open.spotify.com/track/23IJ5wLRhEZ9DOuia5mPiZ
78,0QGRhDnZtSUbaighbPENYW,Close To You,Neon Trees,Picture Show,maybe,173.00,81.00,61.00,31.00,120.00,8A,1,1.22,0.600,0.9608,0.1386,1.0224,0.9932,https://open.spotify.com/track/0QGRhDnZtSUbaighbPENYW
79,5wU6jk9kxYzFGUpeE6T2Q5,Crystals,Of Monsters and Men,Beneath The Skin,maybe,166.00,75.00,58.00,33.00,132.00,8B,1,1.25,0.600,0.9601,0.1386,1.0180,0.9887,https://open.spotify.com/track/5wU6jk9kxYzFGUpeE6T2Q5
80,6R0HCnRKGxOaTkdbXUKoLL,Me and My Friends Are Lonely (Live),Matt Maeson,That's My Cue: A Solo Experience,maybe,165.00,62.00,51.00,52.00,140.00,4B,1,0.07,0.600,0.9977,0.1386,1.0062,0.9886,https://open.spotify.com/track/6R0HCnRKGxOaTkdbXUKoLL
81,5kDJvxVwV5JY1DpCrQRhRk,English Town,Matchbox Twenty,North (Deluxe Edition),maybe,166.00,70.00,62.00,34.00,115.00,8A,1,1.22,0.600,0.9608,0.1386,1.0160,0.9870,https://open.spotify.com/track/5kDJvxVwV5JY1DpCrQRhRk
82,4jozjPDv6YVVDmDqDQqyTf,Always,Panama,Always EP (Deluxe Edition),maybe,181.00,76.00,61.00,44.00,116.00,4A,1,1.24,0.600,0.9604,0.1386,1.0147,0.9856,https://open.spotify.com/track/4jozjPDv6YVVDmDqDQqyTf
83,618DIJLSOg5ffmXaFFRsnv,Fangs,Night Riots,Fangs,maybe,183.00,85.00,52.00,46.00,145.00,9B,1,0.18,0.600,0.9942,0.1386,1.0039,0.9853,https://open.spotify.com/track/618DIJLSOg5ffmXaFFRsnv
84,2Cp5exQvEWphydFc11pxO6,Undercover,No Doubt,Push And Shove,maybe,183.00,82.00,50.00,51.00,136.00,12A,1,0.20,0.600,0.9935,0.1386,1.0010,0.9822,https://open.spotify.com/track/2Cp5exQvEWphydFc11pxO6
85,2h5bz3snLAvbXJhMIrTmSY,Most Of All,Fuel,Natural Selection,maybe,184.00,75.00,61.00,48.00,127.00,10B,1,1.22,0.600,0.9608,0.1386,1.0098,0.9809,https://open.spotify.com/track/2h5bz3snLAvbXJhMIrTmSY
